, valor_da_conta,gorjeta,sobremesa,dia_da_semana,hora_do_dia,total_de_pessoas
85,34.83,5.17,Não,Quita-Feira,,4
86,13.03,2.0,Não,Quita-Feira,,2
87,18.28,4.0,Não,Quita-Feira,,2
88,24.71,5.85,Não,Quita-Feira,,2
89,21.16,3.0,Não,Quita-Feira,,2
90,28.97,3.0,Sim,Sexta-Feira,,2
91,22.49,3.5,Não,Sexta-Feira,,2
92,5.75,1.0,Sim,Sexta-Feira,,2
93,16.32,4.3,Sim,Sexta-Feira,,2
94,22.75,3.25,Não,Sexta-Feira,,2
95,40.17,4.73,Sim,Sexta-Feira,,4
96,27.28,4.0,Sim,Sexta-Feira,,2
97,12.03,1.5,Sim,Sexta-Feira,,2
98,21.01,3.0,Sim,Sexta-Feira,,2
99,12.46,1.5,Não,Sexta-Feira,,2
100,11.35,2.5,Sim,Sexta-Feira,,2
101,15.38,3.0,Sim,Sexta-Feira,,2
102,44.3,2.5,Sim,Sábado,,3
103,22.42,3.48,Sim,Sábado,,2
104,20.92,4.08,Não,Sábado,,2
105,15.36,1.64,Sim,Sábado,,2
106,20.49,4.06,Sim,Sábado,,2
107,25.21,4.29,Sim,Sábado,,2
108,18.24,3.76,Não,Sábado,,2
109,14.31,4.0,Sim,Sábado,,2
110,14.0,3.0,Não,Sábado,,2
111,7.25,1.0,Não,Sábado,,1
112,38.07,4.0,Não,Domingo,,3
113,23.95,2.55,Não,Domingo,,2
114,25.71,4.0,Não,Domingo,,3
115,17.31,3.5,Não,Domingo,,2
116,29.93,5.07,Não,Domingo,,4
117,10.65,1.5,Não,Quita-Feira,,2
118,12.43,1.8,Não,Quita-Feira,,2
119,24.08,2.92,Não,Quita-Feira,,4
120,11.69,2.31,Não,Quita-Feira,,2
121,13.42,1.68,Não,Quita-Feira,,2
122,14.26,2.5,Não,Quita-Feira,,2
123,15.95,2.0,Não,Quita-Feira,,2
124,12.48,2.52,Não,Quita-Feira,,2
125,29.8,4.2,Não,Quita-Feira,,6
126,8.52,1.48,Não,Quita-Feira,,2
127,14.52,2.0,Não,Quita-Feira,,2
128,11.38,2.0,Não,Quita-Feira,,2
129,22.82,2.18,Não,Quita-Feira,,3
130,19.08,1.5,Não,Quita-Feira,,2
131,20.27,2.83,Não,Quita-Feira,,2
132,11.17,1.5,Não,Quita-Feira,,2
133,12.26,2.0,Não,Quita-Feira,,2
134,18.26,3.25,Não,Quita-Feira,,2
135,8.51,1.25,Não,Quita-Feira,,2
136,10.33,2.0,Não,Quita-Feira,,2
137,14.15,2.0,Não,Quita-Feira,,2
138,16.0,2.0,Sim,Quita-Feira,,2
139,13.16,2.75,Não,Quita-Feira,,2
140,17.47,3.5,Não,Quita-Feira,,2
141,34.3,6.7,Não,Quita-Feira,,6
142,41.19,5.0,Não,Quita-Feira,,5
143,27.05,5.0,Não,Quita-Feira,,6
144,16.43,2.3,Não,Quita-Feira,,2
145,8.35,1.5,Não,Quita-Feira,,2
146,18.64,1.36,Não,Quita-Feira,,3
147,11.87,1.63,Não,Quita-Feira,,2
148,9.78,1.73,Não,Quita-Feira,,2
149,7.51,2.0,Não,Quita-Feira,,2
150,14.07,2.5,Não,Domingo,,2
151,13.13,2.0,Não,Domingo,,2
152,17.26,2.74,Não,Domingo,,3
153,24.55,2.0,Não,Domingo,,4
154,19.77,2.0,Não,Domingo,,4
155,29.85,5.14,Não,Domingo,,5
156,48.17,5.0,Não,Domingo,,6
157,25.0,3.75,Não,Domingo,,4
158,13.39,2.61,Não,Domingo,,2
159,16.49,2.0,Não,Domingo,,4
160,21.5,3.5,Não,Domingo,,4
161,12.66,2.5,Não,Domingo,,2
162,16.21,2.0,Não,Domingo,,3
163,13.81,2.0,Não,Domingo,,2
164,17.51,3.0,Sim,Domingo,,2
165,24.52,3.48,Não,Domingo,,3
166,20.76,2.24,Não,Domingo,,2
167,31.71,4.5,Não,Domingo,,4
168,10.59,1.61,Sim,Sábado,,2
169,10.63,2.0,Sim,Sábado,,2
170,50.81,10.0,Sim,Sábado,,3
171,15.81,3.16,Sim,Sábado,,2
172,7.25,5.15,Sim,Domingo,,2
173,31.85,3.18,Sim,Domingo,,2
174,16.82,4.0,Sim,Domingo,,2
175,32.9,3.11,Sim,Domingo,,2
176,17.89,2.0,Sim,Domingo,,2
177,14.48,2.0,Sim,Domingo,,2
178,9.6,4.0,Sim,Domingo,,2
179,34.63,3.55,Sim,Domingo,,2
180,34.65,3.68,Sim,Domingo,,4
181,23.33,5.65,Sim,Domingo,,2
182,45.35,3.5,Sim,Domingo,,3
183,23.17,6.5,Sim,Domingo,,4
184,40.55,3.0,Sim,Domingo,,2
185,20.69,5.0,Não,Domingo,,5
186,20.9,3.5,Sim,Domingo,,3
187,30.46,2.0,Sim,Domingo,,5
188,18.15,3.5,Sim,Domingo,,3
189,23.1,4.0,Sim,Domingo,,3
190,15.69,1.5,Sim,Domingo,,2
191,19.81,4.19,Sim,Quita-Feira,,2
192,28.44,2.56,Sim,Quita-Feira,,2
193,15.48,2.02,Sim,Quita-Feira,,2
194,16.58,4.0,Sim,Quita-Feira,,2
195,7.56,1.44,Não,Quita-Feira,,2
196,10.34,2.0,Sim,Quita-Feira,,2
197,43.11,5.0,Sim,Quita-Feira,,4
198,13.0,2.0,Sim,Quita-Feira,,2
199,13.51,2.0,Sim,Quita-Feira,,2
200,18.71,4.0,Sim,Quita-Feira,,3
201,12.74,2.01,Sim,Quita-Feira,,2
202,13.0,2.0,Sim,Quita-Feira,,2
203,16.4,2.5,Sim,Quita-Feira,,2
204,20.53,4.0,Sim,Quita-Feira,,4
205,16.47,3.23,Sim,Quita-Feira,,3
206,26.59,3.41,Sim,Sábado,,3
207,38.73,3.0,Sim,Sábado,,4
208,24.27,2.03,Sim,Sábado,,2
209,12.76,2.23,Sim,Sábado,,2
210,30.06,2.0,Sim,Sábado,,3
211,25.89,5.16,Sim,Sábado,,4
212,48.33,9.0,Não,Sábado,,4
213,13.27,2.5,Sim,Sábado,,2
214,28.17,6.5,Sim,Sábado,,3
215,12.9,1.1,Sim,Sábado,,2
216,28.15,3.0,Sim,Sábado,,5
217,11.59,1.5,Sim,Sábado,,2
218,7.74,1.44,Sim,Sábado,,2
219,30.14,3.09,Sim,Sábado,,4
220,12.16,2.2,Sim,Sexta-Feira,,2
221,13.42,3.48,Sim,Sexta-Feira,,2
222,8.58,1.92,Sim,Sexta-Feira,,1
223,15.98,3.0,Não,Sexta-Feira,,3
224,13.42,1.58,Sim,Sexta-Feira,,2
225,16.27,2.5,Sim,Sexta-Feira,,2
226,10.09,2.0,Sim,Sexta-Feira,,2
227,20.45,3.0,Não,Sábado,,4
228,13.28,2.72,Não,Sábado,,2
229,22.12,2.88,Sim,Sábado,,2
230,24.01,2.0,Sim,Sábado,,4
231,15.69,3.0,Sim,Sábado,,3
232,11.61,3.39,Não,Sábado,,2
233,10.77,1.47,Não,Sábado,,2
234,15.53,3.0,Sim,Sábado,,2
235,10.07,1.25,Não,Sábado,,2
236,12.6,1.0,Sim,Sábado,,2
237,32.83,1.17,Sim,Sábado,,2
238,35.83,4.67,Não,Sábado,,3
239,29.03,5.92,Não,Sábado,,3
240,27.18,2.0,Sim,Sábado,,2
241,22.67,2.0,Sim,Sábado,,2
242,17.82,1.75,Não,Sábado,,2
243,18.78,3.0,Não,Quita-Feira,,2
