valor_da_conta,gorjeta,sobremesa,dia_da_semana,hora_do_dia,total_de_pessoas,porcentagem
10.33,2.0,Não,Quita-Feira,Almoço,2,0.1936108422071636
14.15,2.0,Não,Quita-Feira,Almoço,2,0.1413427561837456
16.0,2.0,Sim,Quita-Feira,Almoço,2,0.125
13.16,2.75,Não,Quita-Feira,Almoço,2,0.208966565349544
17.47,3.5,Não,Quita-Feira,Almoço,2,0.2003434459072696
34.3,6.7,Não,Quita-Feira,Almoço,6,0.19533527696793
41.19,5.0,Não,Quita-Feira,Almoço,5,0.1213886865744112
27.05,5.0,Não,Quita-Feira,Almoço,6,0.1848428835489833
16.43,2.3,Não,Quita-Feira,Almoço,2,0.1399878271454656
8.35,1.5,Não,Quita-Feira,Almoço,2,0.1796407185628742
18.64,1.36,Não,Quita-Feira,Almoço,3,0.0729613733905579
11.87,1.63,Não,Quita-Feira,Almoço,2,0.1373209772535804
9.78,1.73,Não,Quita-Feira,Almoço,2,0.1768916155419223
7.51,2.0,Não,Quita-Feira,Almoço,2,0.2663115845539281
14.07,2.5,Não,Domingo,Jantar,2,0.177683013503909
13.13,2.0,Não,Domingo,Jantar,2,0.1523229246001523
17.26,2.74,Não,Domingo,Jantar,3,0.1587485515643105
24.55,2.0,Não,Domingo,Jantar,4,0.0814663951120163
19.77,2.0,Não,Domingo,Jantar,4,0.1011633788568538
29.85,5.14,Não,Domingo,Jantar,5,0.1721943048576214
48.17,5.0,Não,Domingo,Jantar,6,0.1037990450487855
25.0,3.75,Não,Domingo,Jantar,4,0.15
13.39,2.61,Não,Domingo,Jantar,2,0.1949215832710978
16.49,2.0,Não,Domingo,Jantar,4,0.1212856276531231
21.5,3.5,Não,Domingo,Jantar,4,0.1627906976744186
12.66,2.5,Não,Domingo,Jantar,2,0.1974723538704581
16.21,2.0,Não,Domingo,Jantar,3,0.1233806292412091
13.81,2.0,Não,Domingo,Jantar,2,0.1448225923244026
17.51,3.0,Sim,Domingo,Jantar,2,0.1713306681896059
24.52,3.48,Não,Domingo,Jantar,3,0.1419249592169657
20.76,2.24,Não,Domingo,Jantar,2,0.1078998073217726
31.71,4.5,Não,Domingo,Jantar,4,0.1419110690633869
10.59,1.61,Sim,Sábado,Jantar,2,0.1520302171860245
10.63,2.0,Sim,Sábado,Jantar,2,0.1881467544684854
50.81,10.0,Sim,Sábado,Jantar,3,0.1968116512497539
15.81,3.16,Sim,Sábado,Jantar,2,0.1998734977862112
7.25,5.15,Sim,Domingo,Jantar,2,0.710344827586207
31.85,3.18,Sim,Domingo,Jantar,2,0.0998430141287284
16.82,4.0,Sim,Domingo,Jantar,2,0.2378121284185493
32.9,3.11,Sim,Domingo,Jantar,2,0.0945288753799392
17.89,2.0,Sim,Domingo,Jantar,2,0.1117942984907769
14.48,2.0,Sim,Domingo,Jantar,2,0.1381215469613259
9.6,4.0,Sim,Domingo,Jantar,2,0.4166666666666667
34.63,3.55,Sim,Domingo,Jantar,2,0.102512272596015
34.65,3.68,Sim,Domingo,Jantar,4,0.1062049062049062
23.33,5.65,Sim,Domingo,Jantar,2,0.2421774539219889
45.35,3.5,Sim,Domingo,Jantar,3,0.0771775082690187
23.17,6.5,Sim,Domingo,Jantar,4,0.2805351747949935
40.55,3.0,Sim,Domingo,Jantar,2,0.0739827373612823
20.69,5.0,Não,Domingo,Jantar,5,0.2416626389560174
20.9,3.5,Sim,Domingo,Jantar,3,0.1674641148325359
30.46,2.0,Sim,Domingo,Jantar,5,0.0656598818122127
18.15,3.5,Sim,Domingo,Jantar,3,0.1928374655647383
23.1,4.0,Sim,Domingo,Jantar,3,0.1731601731601731
15.69,1.5,Sim,Domingo,Jantar,2,0.0956022944550669
19.81,4.19,Sim,Quita-Feira,Almoço,2,0.2115093387178193
28.44,2.56,Sim,Quita-Feira,Almoço,2,0.090014064697609
15.48,2.02,Sim,Quita-Feira,Almoço,2,0.1304909560723514
16.58,4.0,Sim,Quita-Feira,Almoço,2,0.241254523522316
7.56,1.44,Não,Quita-Feira,Almoço,2,0.1904761904761904
10.34,2.0,Sim,Quita-Feira,Almoço,2,0.1934235976789168
43.11,5.0,Sim,Quita-Feira,Almoço,4,0.1159823706796567
13.0,2.0,Sim,Quita-Feira,Almoço,2,0.1538461538461538
13.51,2.0,Sim,Quita-Feira,Almoço,2,0.1480384900074019
18.71,4.0,Sim,Quita-Feira,Almoço,3,0.2137894174238375
12.74,2.01,Sim,Quita-Feira,Almoço,2,0.1577708006279434
13.0,2.0,Sim,Quita-Feira,Almoço,2,0.1538461538461538
16.4,2.5,Sim,Quita-Feira,Almoço,2,0.1524390243902439
20.53,4.0,Sim,Quita-Feira,Almoço,4,0.1948368241597662
16.47,3.23,Sim,Quita-Feira,Almoço,3,0.196114146933819
26.59,3.41,Sim,Sábado,Jantar,3,0.1282437006393381
38.73,3.0,Sim,Sábado,Jantar,4,0.0774593338497289
24.27,2.03,Sim,Sábado,Jantar,2,0.0836423568191182
12.76,2.23,Sim,Sábado,Jantar,2,0.1747648902821316
30.06,2.0,Sim,Sábado,Jantar,3,0.0665335994677312
25.89,5.16,Sim,Sábado,Jantar,4,0.1993047508690614
48.33,9.0,Não,Sábado,Jantar,4,0.186219739292365
13.27,2.5,Sim,Sábado,Jantar,2,0.188394875659382
28.17,6.5,Sim,Sábado,Jantar,3,0.2307419240326588
12.9,1.1,Sim,Sábado,Jantar,2,0.0852713178294573
28.15,3.0,Sim,Sábado,Jantar,5,0.1065719360568383
11.59,1.5,Sim,Sábado,Jantar,2,0.1294219154443485
7.74,1.44,Sim,Sábado,Jantar,2,0.1860465116279069
30.14,3.09,Sim,Sábado,Jantar,4,0.1025215660252156
12.16,2.2,Sim,Sexta-Feira,Almoço,2,0.1809210526315789
13.42,3.48,Sim,Sexta-Feira,Almoço,2,0.2593144560357675
8.58,1.92,Sim,Sexta-Feira,Almoço,1,0.2237762237762237
15.98,3.0,Não,Sexta-Feira,Almoço,3,0.1877346683354192
13.42,1.58,Sim,Sexta-Feira,Almoço,2,0.1177347242921013
16.27,2.5,Sim,Sexta-Feira,Almoço,2,0.1536570374923171
10.09,2.0,Sim,Sexta-Feira,Almoço,2,0.1982160555004955
20.45,3.0,Não,Sábado,Jantar,4,0.1466992665036675
13.28,2.72,Não,Sábado,Jantar,2,0.2048192771084337
22.12,2.88,Sim,Sábado,Jantar,2,0.1301989150090415
24.01,2.0,Sim,Sábado,Jantar,4,0.083298625572678
15.69,3.0,Sim,Sábado,Jantar,3,0.1912045889101338
11.61,3.39,Não,Sábado,Jantar,2,0.2919896640826873
10.77,1.47,Não,Sábado,Jantar,2,0.1364902506963788
15.53,3.0,Sim,Sábado,Jantar,2,0.1931745009658725
10.07,1.25,Não,Sábado,Jantar,2,0.1241310824230387
12.6,1.0,Sim,Sábado,Jantar,2,0.0793650793650793
32.83,1.17,Sim,Sábado,Jantar,2,0.0356381358513554
35.83,4.67,Não,Sábado,Jantar,3,0.1303377058331007
29.03,5.92,Não,Sábado,Jantar,3,0.2039269720978298
27.18,2.0,Sim,Sábado,Jantar,2,0.0735835172921265
22.67,2.0,Sim,Sábado,Jantar,2,0.0882223202470224
17.82,1.75,Não,Sábado,Jantar,2,0.0982042648709315
18.78,3.0,Não,Quita-Feira,Jantar,2,0.1597444089456869
